year,is_crisis,joseon_present,n_events,events
1661,True,False,3,천계령 및 해금령; 오배 섭정 전횡; 정씨 대만 정복전
1662,True,False,3,천계령 및 해금령; 오배 섭정 전횡; 정씨 대만 정복전
1663,True,True,3,천계령 및 해금령; 오배 섭정 전횡; 정씨 대만 정복전
1664,True,True,3,천계령 및 해금령; 오배 섭정 전횡; 정씨 대만 정복전
1665,True,True,3,천계령 및 해금령; 오배 섭정 전횡; 정씨 대만 정복전
1666,True,True,3,천계령 및 해금령; 오배 섭정 전횡; 정씨 대만 정복전
1667,True,True,3,천계령 및 해금령; 오배 섭정 전횡; 정씨 대만 정복전
1668,True,True,3,천계령 및 해금령; 오배 섭정 전횡; 정씨 대만 정복전
1669,True,False,3,천계령 및 해금령; 오배 섭정 전횡; 정씨 대만 정복전
1670,True,True,2,천계령 및 해금령; 정씨 대만 정복전
1671,True,True,2,천계령 및 해금령; 정씨 대만 정복전
1672,True,True,2,천계령 및 해금령; 정씨 대만 정복전
1673,True,True,3,천계령 및 해금령; 정씨 대만 정복전; 삼번의 난
1674,True,True,3,천계령 및 해금령; 정씨 대만 정복전; 삼번의 난
1675,True,True,4,천계령 및 해금령; 정씨 대만 정복전; 삼번의 난; 차하르 몽골 반란
1676,True,True,3,천계령 및 해금령; 정씨 대만 정복전; 삼번의 난
1677,True,True,3,천계령 및 해금령; 정씨 대만 정복전; 삼번의 난
1678,True,True,3,천계령 및 해금령; 정씨 대만 정복전; 삼번의 난
1679,True,True,3,천계령 및 해금령; 정씨 대만 정복전; 삼번의 난
1680,True,True,3,천계령 및 해금령; 정씨 대만 정복전; 삼번의 난
1681,True,True,3,천계령 및 해금령; 정씨 대만 정복전; 삼번의 난
1682,True,False,2,천계령 및 해금령; 정씨 대만 정복전
1683,True,True,2,천계령 및 해금령; 정씨 대만 정복전
1684,False,True,0,
1685,True,True,1,야크사 전쟁·네르친스크 조약
1686,True,True,1,야크사 전쟁·네르친스크 조약
1687,True,True,1,야크사 전쟁·네르친스크 조약
1688,True,False,2,야크사 전쟁·네르친스크 조약; 준가르 전쟁 1기 (갈단)
1689,True,True,2,야크사 전쟁·네르친스크 조약; 준가르 전쟁 1기 (갈단)
1690,True,True,1,준가르 전쟁 1기 (갈단)
1691,True,True,1,준가르 전쟁 1기 (갈단)
1692,True,True,1,준가르 전쟁 1기 (갈단)
1693,True,True,1,준가르 전쟁 1기 (갈단)
1694,True,True,1,준가르 전쟁 1기 (갈단)
1695,True,True,1,준가르 전쟁 1기 (갈단)
1696,True,False,1,준가르 전쟁 1기 (갈단)
1697,True,True,1,준가르 전쟁 1기 (갈단)
1698,False,True,0,
1699,False,True,0,
1700,False,True,0,
1701,False,True,0,
1702,False,True,0,
1703,False,True,0,
1704,False,True,0,
1705,True,True,1,중국 의례 논쟁
1706,True,True,1,중국 의례 논쟁
1707,True,True,1,중국 의례 논쟁
1708,True,True,2,중국 의례 논쟁; 황태자 윤잉 폐립
1709,True,False,2,중국 의례 논쟁; 황태자 윤잉 폐립
1710,True,True,2,중국 의례 논쟁; 황태자 윤잉 폐립
1711,True,True,2,중국 의례 논쟁; 황태자 윤잉 폐립
1712,True,True,2,중국 의례 논쟁; 황태자 윤잉 폐립
1713,True,True,1,중국 의례 논쟁
1714,True,True,1,중국 의례 논쟁
1715,True,True,1,중국 의례 논쟁
1716,True,True,1,중국 의례 논쟁
1717,True,True,2,중국 의례 논쟁; 준가르 티베트 침공·청 반격
1718,True,True,2,중국 의례 논쟁; 준가르 티베트 침공·청 반격
1719,True,True,2,중국 의례 논쟁; 준가르 티베트 침공·청 반격
1720,True,True,2,중국 의례 논쟁; 준가르 티베트 침공·청 반격
1721,True,True,1,중국 의례 논쟁
1722,False,True,0,
