antecedents_tagged,consequents_tagged,support,confidence,lift
"蒙古(GRP), 諸王(OFF)",貝勒貝子(OFF),0.050131926121372,0.8444444444444444,10.00138888888889
貝勒貝子(OFF),"蒙古(GRP), 諸王(OFF)",0.050131926121372,0.59375,10.00138888888889
"蒙古(GRP), 貝勒貝子(OFF)",諸王(OFF),0.050131926121372,0.95,9.351948051948051
"蒙古(GRP), 諸王(OFF)",八旗(SYS),0.0514511873350923,0.8666666666666667,8.011382113821139
"八旗(SYS), 蒙古(GRP)",諸王(OFF),0.0514511873350923,0.75,7.383116883116883
諸王(OFF),"八旗(SYS), 蒙古(GRP)",0.0514511873350923,0.5064935064935064,7.383116883116883
"大學士(OFF), 蒙古(GRP)",諸王(OFF),0.050131926121372,0.5757575757575757,5.66784730421094
"大學士(OFF), 蒙古(GRP)",八旗(SYS),0.050131926121372,0.5757575757575757,5.322246858832224
"滿洲(GRP), 蒙古(GRP)",八旗(SYS),0.0554089709762532,0.5454545454545454,5.042128603104213
八旗(SYS),"滿洲(GRP), 蒙古(GRP)",0.0554089709762532,0.5121951219512195,5.042128603104213
貝勒貝子(OFF),"康熙(DATE), 蒙古(GRP)",0.0514511873350923,0.609375,5.020720108695652
"八旗(SYS), 蒙古(GRP)",滿洲(GRP),0.0554089709762532,0.8076923076923077,4.97748592870544
八旗(SYS),"康熙(DATE), 蒙古(GRP)",0.0606860158311345,0.5609756097560976,4.621951219512195
"康熙(DATE), 蒙古(GRP)",八旗(SYS),0.0606860158311345,0.5,4.621951219512195
諸王(OFF),"康熙(DATE), 蒙古(GRP)",0.0540897097625329,0.5324675324675324,4.387069452286843
"八旗(SYS), 諸王(OFF)",蒙古(GRP),0.0514511873350923,0.8666666666666667,4.293681917211329
"八旗(SYS), 滿洲(GRP)",蒙古(GRP),0.0554089709762532,0.84,4.161568627450981
"八旗(SYS), 大學士(OFF)",蒙古(GRP),0.050131926121372,0.7916666666666666,3.922113289760349
"大學士(OFF), 蒙古(GRP)",滿洲(GRP),0.0554089709762532,0.6363636363636362,3.921655580192165
"蒙古(GRP), 諸王(OFF)",大學士(OFF),0.050131926121372,0.8444444444444444,3.855957161981258
"實錄(SYS), 蒙古(GRP)",滿洲(GRP),0.0567282321899736,0.6142857142857143,3.7855981416957034
"康熙(DATE), 蒙古(GRP)",滿洲(GRP),0.0712401055408971,0.5869565217391305,3.6171792152704136
"八旗(SYS), 康熙(DATE)",蒙古(GRP),0.0606860158311345,0.71875,3.5608660130718954
"大學士(OFF), 滿洲(GRP)",蒙古(GRP),0.0554089709762532,0.7,3.4679738562091504
"實錄(SYS), 滿洲(GRP)",蒙古(GRP),0.0567282321899736,0.6935483870967742,3.436010963525196
"八旗(SYS), 蒙古(GRP)",大學士(OFF),0.050131926121372,0.7307692307692308,3.3368860055607046
"康熙(DATE), 貝勒貝子(OFF)",蒙古(GRP),0.0514511873350923,0.6610169491525423,3.2748421402459287
"康熙(DATE), 滿洲(GRP)",蒙古(GRP),0.0712401055408971,0.6585365853658537,3.262553802008609
"大學士(OFF), 諸王(OFF)",蒙古(GRP),0.050131926121372,0.6551724137931034,3.245886860491323
八旗(SYS),蒙古(GRP),0.0686015831134564,0.6341463414634146,3.1417184760082897
"諸王(OFF), 貝勒貝子(OFF)",蒙古(GRP),0.050131926121372,0.6333333333333333,3.137690631808279
"康熙(DATE), 諸王(OFF)",蒙古(GRP),0.0540897097625329,0.6307692307692307,3.124987430869784
蒙古(GRP),滿洲(GRP),0.1015831134564643,0.5032679738562092,3.101440034008184
滿洲(GRP),蒙古(GRP),0.1015831134564643,0.6260162601626016,3.101440034008183
貝勒貝子(OFF),蒙古(GRP),0.0527704485488126,0.625,3.09640522875817
諸王(OFF),蒙古(GRP),0.0593667546174142,0.5844155844155844,2.895339954163484
"實錄(SYS), 蒙古(GRP)",大學士(OFF),0.0514511873350923,0.5571428571428572,2.5440619621342515
"大學士(OFF), 實錄(SYS)",蒙古(GRP),0.0514511873350923,0.513157894736842,2.542311661506708
"滿洲(GRP), 蒙古(GRP)",大學士(OFF),0.0554089709762532,0.5454545454545454,2.490690032858707
"康熙(DATE), 科爾沁(GRP)",實錄(SYS),0.0540897097625329,0.8541666666666666,2.443238993710692
"康熙(DATE), 蒙古(GRP)",大學士(OFF),0.0633245382585752,0.5217391304347826,2.3823991618648503
"康熙(DATE), 蒙古(GRP)",實錄(SYS),0.0897097625329815,0.7391304347826086,2.1141919606234616
"實錄(SYS), 科爾沁(GRP)",康熙(DATE),0.0540897097625329,0.9761904761904764,1.978482302011714
"蒙古(GRP), 貝勒貝子(OFF)",康熙(DATE),0.0514511873350923,0.975,1.976069518716577
"實錄(SYS), 蒙古(GRP)",康熙(DATE),0.0897097625329815,0.9714285714285716,1.968831168831169
科爾沁(GRP),"實錄(SYS), 康熙(DATE)",0.0540897097625329,0.6507936507936507,1.926959325396825
科爾沁(GRP),實錄(SYS),0.0554089709762532,0.6666666666666666,1.9069182389937107
"蒙古(GRP), 諸王(OFF)",康熙(DATE),0.0540897097625329,0.9111111111111112,1.8465834818775997
"八旗(SYS), 蒙古(GRP)",康熙(DATE),0.0606860158311345,0.8846153846153847,1.792883587001234
"大學士(OFF), 蒙古(GRP)",實錄(SYS),0.0514511873350923,0.5909090909090908,1.6902229845626071
"滿洲(GRP), 蒙古(GRP)",實錄(SYS),0.0567282321899736,0.5584415584415584,1.59735358980642
科爾沁(GRP),康熙(DATE),0.0633245382585752,0.7619047619047619,1.5441813088871912
