vassal,months,rank,word,rule_count
朝鮮,56,1,外藩,63
朝鮮,56,2,土默特,58
朝鮮,56,3,台吉,58
朝鮮,56,4,巴林,58
朝鮮,56,5,科爾沁,54
朝鮮,56,6,翁牛特,53
朝鮮,56,7,公,44
朝鮮,56,8,侍衛,40
朝鮮,56,9,三旗,40
朝鮮,56,10,直隸,34
朝鮮,56,11,戶口,32
朝鮮,56,12,王貝勒貝子,28
朝鮮,56,13,敖漢,28
朝鮮,56,14,哈納,24
朝鮮,56,15,學士,23
朝鮮,56,16,毛明安,22
朝鮮,56,17,侍郎,22
朝鮮,56,18,杜爾伯特,22
朝鮮,56,19,扎魯特,20
朝鮮,56,20,喀喇沁,18
蒙古,154,1,元旦,84
蒙古,154,2,堂子,84
蒙古,154,3,朝鮮國王,82
蒙古,154,4,藩王,80
蒙古,154,5,貝勒貝子,80
蒙古,154,6,正月,80
蒙古,154,7,外藩,78
蒙古,154,8,諸王,76
蒙古,154,9,巴林,72
蒙古,154,10,戶口,68
蒙古,154,11,台吉,68
蒙古,154,12,八旗,66
蒙古,154,13,科爾沁,66
蒙古,154,14,王,58
蒙古,154,15,大學士,56
蒙古,154,16,侍衛,56
蒙古,154,17,直隸,54
蒙古,154,18,翁牛特,48
蒙古,154,19,土默特,44
蒙古,154,20,公,42
準噶爾,27,1,台吉,113
準噶爾,27,2,胡土克圖,98
準噶爾,27,3,丹巴,89
準噶爾,27,4,汗,77
準噶爾,27,5,土謝,66
準噶爾,27,6,康熙,66
準噶爾,27,7,尚書,62
準噶爾,27,8,實錄,61
準噶爾,27,9,達賴,49
準噶爾,27,10,兵部,46
準噶爾,27,11,多爾濟,46
準噶爾,27,12,丹津,40
準噶爾,27,13,扎薩克圖,39
準噶爾,27,14,庚午,37
準噶爾,27,15,侍郎,31
準噶爾,27,16,乙卯,28
準噶爾,27,17,圖汗,27
準噶爾,27,18,厄魯特,26
準噶爾,27,19,總兵,26
準噶爾,27,20,提督,25
達賴,20,1,康熙,99
達賴,20,2,公,90
達賴,20,3,台吉,89
達賴,20,4,班禪,87
達賴,20,5,噶爾丹,87
達賴,20,6,丹巴,84
達賴,20,7,總兵,81
達賴,20,8,汗,73
達賴,20,9,青海,71
達賴,20,10,實錄,70
達賴,20,11,扎薩克圖,70
達賴,20,12,丹津,68
達賴,20,13,蒙古,68
達賴,20,14,胡土克圖,67
達賴,20,15,尚書,66
達賴,20,16,兵部,62
達賴,20,17,右侍郎,62
達賴,20,18,總督,59
達賴,20,19,白旗,59
達賴,20,20,刑部,56
